pc_recv_time_us,inst_id,tick_id,score_index,to1,to2,to3,dur_to,he1,he2,he3,dur_he,pickup_us
1783822089330468,1,2,0,0,0,0,0,36,0,0,250,7
1783822089458885,1,3,1,0,0,0,0,0,0,0,0,7
1783822089587206,1,4,2,0,0,0,0,55,52,0,250,7
1783822089714424,1,5,3,0,0,0,0,0,0,0,0,7
1783822089843148,1,6,4,0,0,0,0,36,0,0,250,7
1783822089971098,1,7,5,0,0,0,0,0,0,0,0,7
1783822090099633,1,8,6,0,0,0,0,55,52,0,250,7
1783822090228572,1,9,7,0,0,0,0,0,0,0,0,7
1783822090356035,1,10,8,0,0,0,0,36,0,0,250,7
1783822090484722,1,11,9,0,0,0,0,0,0,0,0,8
1783822090613867,1,12,10,67,64,0,250,55,52,0,250,7
1783822090741326,1,13,11,0,0,0,0,0,0,0,0,7
1783822090869853,1,14,12,69,64,0,250,36,0,0,250,8
1783822090997707,1,15,13,0,0,0,0,0,0,0,0,7
1783822091126001,1,16,14,71,64,0,250,55,52,0,250,8
1783822091253628,1,17,15,0,0,0,0,0,0,0,0,7
1783822091382771,1,18,16,72,67,0,500,48,0,0,250,8
1783822091510410,1,19,17,0,0,0,0,0,0,0,0,6
1783822091639673,1,20,18,0,0,0,0,60,55,0,250,7
1783822091771295,1,21,19,0,0,0,0,0,0,0,0,7
1783822091896305,1,22,20,67,0,0,500,48,0,0,250,7
1783822092023482,1,23,21,0,0,0,0,0,0,0,0,7
1783822092153600,1,24,22,0,0,0,0,60,55,0,250,7
1783822092279413,1,25,23,0,0,0,0,0,0,0,0,7
1783822092408912,1,26,24,64,60,0,500,43,0,0,250,7
1783822092536546,1,27,25,0,0,0,0,0,0,0,0,7
1783822092665687,1,28,26,0,0,0,0,55,52,0,250,7
1783822092793175,1,29,27,0,0,0,0,0,0,0,0,7
1783822092921780,1,30,28,60,0,0,500,43,0,0,250,6
1783822093048842,1,31,29,0,0,0,0,0,0,0,0,7
1783822093177802,1,32,30,0,0,0,0,55,52,0,250,7
1783822093305654,1,33,31,0,0,0,0,0,0,0,0,7
1783822093435199,1,34,32,69,65,0,1000,41,0,0,250,7
1783822093561958,1,35,33,0,0,0,0,0,0,0,0,7
1783822093690876,1,36,34,0,0,0,0,53,48,0,250,8
1783822093818234,1,37,35,0,0,0,0,0,0,0,0,8
1783822093947425,1,38,36,0,0,0,0,41,0,0,250,7
1783822094074841,1,39,37,0,0,0,0,0,0,0,0,8
1783822094203794,1,40,38,0,0,0,0,53,48,0,250,7
1783822094331524,1,41,39,0,0,0,0,0,0,0,0,7
1783822094459709,1,42,40,0,0,0,0,48,0,0,250,7
1783822094588063,1,43,41,0,0,0,0,0,0,0,0,7
1783822094718228,1,44,42,69,65,0,250,57,53,0,250,7
1783822094844656,1,45,43,0,0,0,0,0,0,0,0,8
1783822094973773,1,46,44,71,65,0,250,48,0,0,250,7
1783822095100634,1,47,45,0,0,0,0,0,0,0,0,7
1783822095229668,1,48,46,69,65,0,250,57,53,0,250,8
1783822095357275,1,49,47,0,0,0,0,0,0,0,0,7
1783822095486730,1,50,48,67,65,0,500,47,0,0,250,7
1783822095614336,1,51,49,0,0,0,0,0,0,0,0,6
1783822095742539,1,52,50,0,0,0,0,57,55,0,250,7
1783822095870136,1,53,51,0,0,0,0,0,0,0,0,7
1783822096000225,1,54,52,67,66,0,500,47,0,0,250,7
1783822096126699,1,55,53,0,0,0,0,0,0,0,0,7
1783822096255602,1,56,54,0,0,0,0,57,55,0,250,7
1783822096383387,1,57,55,0,0,0,0,0,0,0,0,8
1783822096511876,1,58,56,69,62,0,500,43,0,0,250,7
1783822096640013,1,59,57,0,0,0,0,0,0,0,0,7
1783822096768493,1,60,58,0,0,0,0,53,47,0,250,7
1783822096896833,1,61,59,0,0,0,0,0,0,0,0,7
1783822097025553,1,62,60,71,62,0,500,43,0,0,250,8
1783822097152849,1,63,61,0,0,0,0,0,0,0,0,6
1783822097281304,1,64,62,0,0,0,0,53,47,0,250,7
1783822097409573,1,65,63,0,0,0,0,0,0,0,0,7
1783822097537581,1,66,64,72,67,0,1000,48,0,0,250,7
1783822097665701,1,67,65,0,0,0,0,0,0,0,0,7
1783822097794301,1,68,66,0,0,0,0,55,0,0,125,7
1783822097923201,1,69,67,0,0,0,0,57,0,0,250,7
1783822098050118,1,70,68,0,0,0,0,0,0,0,0,7
1783822098178838,1,71,69,0,0,0,0,55,0,0,125,7
1783822098306929,1,72,70,0,0,0,0,52,0,0,250,7
1783822098434961,1,73,71,0,0,0,0,0,0,0,0,7
1783822098563307,1,74,72,0,0,0,0,48,0,0,250,7
1783822098691204,1,75,73,0,0,0,0,0,0,0,0,7
1783822098820605,1,76,74,67,0,0,250,0,0,0,0,7
1783822098948061,1,77,75,0,0,0,0,0,0,0,0,7
1783822099076845,1,78,76,66,0,0,250,0,0,0,0,7
1783822099204712,1,79,77,0,0,0,0,0,0,0,0,6
1783822099333233,1,80,78,67,0,0,250,0,0,0,0,7
1783822099460587,1,81,79,0,0,0,0,0,0,0,0,8
1783822099590003,1,82,80,64,0,0,500,36,0,0,250,7
1783822099717051,1,83,81,0,0,0,0,0,0,0,0,7
1783822099845836,1,84,82,0,0,0,0,55,52,0,250,7
1783822099973435,1,85,83,0,0,0,0,0,0,0,0,7
1783822100102416,1,86,84,0,0,0,0,36,0,0,250,7
1783822100229900,1,87,85,0,0,0,0,0,0,0,0,8
1783822100358966,1,88,86,0,0,0,0,55,52,0,250,7
