pc_recv_time_us,inst_id,tick_id,score_index,to1,to2,to3,dur_to,he1,he2,he3,dur_he,pickup_us
1783822051974369,4,2,0,2,80,0,0,0,0,0,0,7
1783822052101629,4,3,1,0,0,0,0,0,0,0,0,7
1783822052230209,4,4,2,0,0,0,0,0,0,0,0,8
1783822052358555,4,5,3,0,0,0,0,0,0,0,0,7
1783822052486224,4,6,4,1,110,0,0,0,0,0,0,7
1783822052615742,4,7,5,0,0,0,0,0,0,0,0,8
1783822052743193,4,8,6,0,0,0,0,0,0,0,0,7
1783822052871081,4,9,7,0,0,0,0,0,0,0,0,7
1783822052999810,4,10,8,2,80,0,0,0,0,0,0,6
1783822053128239,4,11,9,0,0,0,0,0,0,0,0,7
1783822053256849,4,12,10,0,0,0,0,0,0,0,0,7
1783822053385730,4,13,11,0,0,0,0,0,0,0,0,7
1783822053514086,4,14,12,1,110,0,0,0,0,0,0,7
1783822053641094,4,15,13,0,0,0,0,0,0,0,0,7
1783822053769997,4,16,14,0,0,0,0,0,0,0,0,7
1783822053897735,4,17,15,0,0,0,0,0,0,0,0,7
1783822054026420,4,18,16,2,80,0,0,0,0,0,0,7
1783822054153902,4,19,17,0,0,0,0,0,0,0,0,7
1783822054282417,4,20,18,0,0,0,0,0,0,0,0,6
1783822054410458,4,21,19,0,0,0,0,0,0,0,0,8
1783822054539239,4,22,20,1,110,0,0,0,0,0,0,7
1783822054667579,4,23,21,0,0,0,0,0,0,0,0,7
1783822054794831,4,24,22,0,0,0,0,0,0,0,0,7
1783822054923451,4,25,23,0,0,0,0,0,0,0,0,7
1783822055052570,4,26,24,2,80,0,0,0,0,0,0,7
1783822055180680,4,27,25,0,0,0,0,0,0,0,0,7
1783822055307936,4,28,26,0,0,0,0,0,0,0,0,7
1783822055436530,4,29,27,0,0,0,0,0,0,0,0,7
1783822055565867,4,30,28,1,110,0,0,0,0,0,0,7
1783822055692786,4,31,29,0,0,0,0,0,0,0,0,7
1783822055820459,4,32,30,0,0,0,0,0,0,0,0,7
1783822055949483,4,33,31,0,0,0,0,0,0,0,0,7
1783822056077819,4,34,32,2,80,0,0,0,0,0,0,6
1783822056205886,4,35,33,0,0,0,0,0,0,0,0,8
1783822056333609,4,36,34,0,0,0,0,0,0,0,0,7
1783822056461861,4,37,35,0,0,0,0,0,0,0,0,7
1783822056591409,4,38,36,1,110,0,0,0,0,0,0,7
1783822056719144,4,39,37,0,0,0,0,0,0,0,0,6
1783822056847853,4,40,38,0,0,0,0,0,0,0,0,7
1783822056975308,4,41,39,0,0,0,0,0,0,0,0,7
1783822057103515,4,42,40,2,80,0,0,0,0,0,0,6
1783822057232114,4,43,41,0,0,0,0,0,0,0,0,8
1783822057359146,4,44,42,0,0,0,0,0,0,0,0,7
1783822057487987,4,45,43,0,0,0,0,0,0,0,0,7
1783822057616776,4,46,44,1,110,0,0,0,0,0,0,7
1783822057745166,4,47,45,0,0,0,0,0,0,0,0,7
1783822057873519,4,48,46,0,0,0,0,0,0,0,0,8
1783822058001571,4,49,47,0,0,0,0,0,0,0,0,7
1783822058129149,4,50,48,2,80,0,0,0,0,0,0,7
1783822058257876,4,51,49,0,0,0,0,0,0,0,0,7
1783822058385883,4,52,50,0,0,0,0,0,0,0,0,6
1783822058515180,4,53,51,0,0,0,0,0,0,0,0,7
1783822058642163,4,54,52,1,110,0,0,0,0,0,0,7
1783822058770542,4,55,53,0,0,0,0,0,0,0,0,7
1783822058898359,4,56,54,0,0,0,0,0,0,0,0,7
1783822059027335,4,57,55,0,0,0,0,0,0,0,0,7
1783822059154784,4,58,56,2,80,0,0,0,0,0,0,6
1783822059283860,4,59,57,0,0,0,0,0,0,0,0,7
1783822059411657,4,60,58,0,0,0,0,0,0,0,0,8
1783822059540741,4,61,59,0,0,0,0,0,0,0,0,7
1783822059667918,4,62,60,1,110,0,0,0,0,0,0,7
1783822059796251,4,63,61,0,0,0,0,0,0,0,0,7
1783822059924578,4,64,62,0,0,0,0,0,0,0,0,7
1783822060053115,4,65,63,0,0,0,0,0,0,0,0,7
1783822060181152,4,66,64,2,80,0,0,0,0,0,0,7
1783822060309047,4,67,65,0,0,0,0,0,0,0,0,7
1783822060437936,4,68,66,0,0,0,0,0,0,0,0,7
1783822060565884,4,69,67,0,0,0,0,0,0,0,0,7
1783822060694389,4,70,68,1,110,0,0,0,0,0,0,7
1783822060822320,4,71,69,0,0,0,0,0,0,0,0,7
1783822060951596,4,72,70,0,0,0,0,0,0,0,0,7
1783822061079633,4,73,71,0,0,0,0,0,0,0,0,7
1783822061207275,4,74,72,2,80,0,0,0,0,0,0,7
1783822061335735,4,75,73,0,0,0,0,0,0,0,0,8
1783822061462981,4,76,74,0,0,0,0,0,0,0,0,7
1783822061592042,4,77,75,0,0,0,0,0,0,0,0,7
1783822061719689,4,78,76,1,110,0,0,0,0,0,0,7
1783822061848544,4,79,77,0,0,0,0,0,0,0,0,7
1783822061976758,4,80,78,0,0,0,0,0,0,0,0,7
1783822062104139,4,81,79,0,0,0,0,0,0,0,0,7
1783822062233540,4,82,80,2,80,0,0,0,0,0,0,7
1783822062361146,4,83,81,0,0,0,0,0,0,0,0,7
1783822062489260,4,84,82,0,0,0,0,0,0,0,0,6
1783822062618165,4,85,83,0,0,0,0,0,0,0,0,8
1783822062745929,4,86,84,1,110,0,0,0,0,0,0,7
1783822062873988,4,87,85,0,0,0,0,0,0,0,0,7
1783822063002702,4,88,86,0,0,0,0,0,0,0,0,7
1783822063130802,4,89,87,0,0,0,0,0,0,0,0,7
1783822063259149,4,90,88,2,80,0,0,0,0,0,0,7
1783822063386909,4,91,89,0,0,0,0,0,0,0,0,7
1783822063515335,4,92,90,0,0,0,0,0,0,0,0,7
1783822063643925,4,93,91,0,0,0,0,0,0,0,0,7
1783822063771643,4,94,92,1,110,0,0,0,0,0,0,7
1783822063899982,4,95,93,0,0,0,0,0,0,0,0,7
1783822064027894,4,96,94,0,0,0,0,0,0,0,0,7
1783822064156107,4,97,95,0,0,0,0,0,0,0,0,7
1783822064284407,4,98,96,2,80,0,0,0,0,0,0,7
1783822064412633,4,99,97,0,0,0,0,0,0,0,0,7
1783822064541554,4,100,98,0,0,0,0,0,0,0,0,8
1783822064669316,4,101,99,0,0,0,0,0,0,0,0,8
1783822064798215,4,102,100,1,110,0,0,0,0,0,0,7
1783822064925738,4,103,101,0,0,0,0,0,0,0,0,7
1783822065054588,4,104,102,0,0,0,0,0,0,0,0,8
1783822065183152,4,105,103,0,0,0,0,0,0,0,0,7
