pc_recv_time_us,inst_id,tick_id,score_index,to1,to2,to3,dur_to,he1,he2,he3,dur_he,pickup_us
1783822018713094,3,2,-1,0,0,0,0,0,0,0,0,7
1783822018841579,3,3,-1,0,0,0,0,0,0,0,0,7
1783822018969683,3,4,-1,0,0,0,0,0,0,0,0,7
1783822019097752,3,5,-1,0,0,0,0,0,0,0,0,7
1783822019225729,3,6,-1,0,0,0,0,0,0,0,0,8
1783822019355179,3,7,-1,0,0,0,0,0,0,0,0,7
1783822019482207,3,8,-1,0,0,0,0,0,0,0,0,7
1783822019611598,3,9,-1,0,0,0,0,0,0,0,0,8
1783822019739107,3,10,-1,0,0,0,0,0,0,0,0,7
1783822019867428,3,11,-1,0,0,0,0,0,0,0,0,8
1783822019995948,3,12,-1,0,0,0,0,0,0,0,0,7
1783822020123741,3,13,-1,0,0,0,0,0,0,0,0,8
1783822020251763,3,14,-1,0,0,0,0,0,0,0,0,6
1783822020380817,3,15,-1,0,0,0,0,0,0,0,0,7
1783822020509026,3,16,-1,0,0,0,0,0,0,0,0,7
1783822020636410,3,17,-1,0,0,0,0,0,0,0,0,7
1783822020765113,3,18,-1,0,0,0,0,0,0,0,0,7
1783822020894018,3,19,-1,0,0,0,0,0,0,0,0,6
1783822021022025,3,20,-1,0,0,0,0,0,0,0,0,7
1783822021149424,3,21,-1,0,0,0,0,0,0,0,0,7
1783822021277652,3,22,-1,0,0,0,0,0,0,0,0,7
1783822021406301,3,23,-1,0,0,0,0,0,0,0,0,7
1783822021534820,3,24,-1,0,0,0,0,0,0,0,0,7
1783822021663188,3,25,-1,0,0,0,0,0,0,0,0,7
1783822021790241,3,26,-1,0,0,0,0,0,0,0,0,7
1783822021918853,3,27,-1,0,0,0,0,0,0,0,0,7
1783822022048018,3,28,-1,0,0,0,0,0,0,0,0,7
1783822022175804,3,29,-1,0,0,0,0,0,0,0,0,7
1783822022304486,3,30,-1,0,0,0,0,0,0,0,0,7
1783822022432682,3,31,-1,0,0,0,0,0,0,0,0,7
1783822022560408,3,32,-1,0,0,0,0,0,0,0,0,7
1783822022688625,3,33,-1,0,0,0,0,0,0,0,0,7
1783822022816406,3,34,-1,0,0,0,0,0,0,0,0,7
1783822022945247,3,35,-1,0,0,0,0,0,0,0,0,8
1783822023073349,3,36,-1,0,0,0,0,0,0,0,0,7
1783822023201860,3,37,-1,0,0,0,0,0,0,0,0,7
1783822023329598,3,38,-1,0,0,0,0,0,0,0,0,7
1783822023458487,3,39,-1,0,0,0,0,0,0,0,0,7
1783822023586261,3,40,-1,0,0,0,0,0,0,0,0,7
1783822023714637,3,41,-1,0,0,0,0,0,0,0,0,7
1783822023842759,3,42,-1,0,0,0,0,0,0,0,0,7
1783822023970855,3,43,-1,0,0,0,0,0,0,0,0,7
1783822024099179,3,44,-1,0,0,0,0,0,0,0,0,7
1783822024227963,3,45,-1,0,0,0,0,0,0,0,0,7
1783822024355467,3,46,-1,0,0,0,0,0,0,0,0,7
1783822024484432,3,47,-1,0,0,0,0,0,0,0,0,7
1783822024613356,3,48,-1,0,0,0,0,0,0,0,0,7
1783822024740932,3,49,-1,0,0,0,0,0,0,0,0,7
1783822024868785,3,50,-1,0,0,0,0,0,0,0,0,7
1783822024997103,3,51,-1,0,0,0,0,0,0,0,0,8
1783822025125087,3,52,-1,0,0,0,0,0,0,0,0,6
1783822025253350,3,53,-1,0,0,0,0,0,0,0,0,7
1783822025381629,3,54,-1,0,0,0,0,0,0,0,0,6
1783822025509948,3,55,-1,0,0,0,0,0,0,0,0,7
1783822025638235,3,56,-1,0,0,0,0,0,0,0,0,7
1783822025766787,3,57,-1,0,0,0,0,0,0,0,0,7
1783822025894379,3,58,-1,0,0,0,0,0,0,0,0,7
1783822026022696,3,59,-1,0,0,0,0,0,0,0,0,7
1783822026152165,3,60,-1,0,0,0,0,0,0,0,0,7
1783822026280032,3,61,-1,0,0,0,0,0,0,0,0,7
1783822026408408,3,62,-1,0,0,0,0,0,0,0,0,7
1783822026535633,3,63,-1,0,0,0,0,0,0,0,0,7
1783822026664056,3,64,-1,0,0,0,0,0,0,0,0,7
1783822026792221,3,65,-1,0,0,0,0,0,0,0,0,7
1783822026920442,3,66,-1,0,0,0,0,0,0,0,0,7
1783822027049285,3,67,-1,0,0,0,0,0,0,0,0,8
1783822027177330,3,68,-1,0,0,0,0,0,0,0,0,7
1783822027305159,3,69,-1,0,0,0,0,0,0,0,0,7
1783822027433385,3,70,-1,0,0,0,0,0,0,0,0,7
1783822027562750,3,71,-1,0,0,0,0,0,0,0,0,6
1783822027689974,3,72,-1,0,0,0,0,0,0,0,0,10
1783822027819005,3,73,-1,0,0,0,0,0,0,0,0,8
1783822027947047,3,74,-1,0,0,0,0,0,0,0,0,7
1783822028075641,3,75,-1,0,0,0,0,0,0,0,0,7
1783822028203103,3,76,-1,0,0,0,0,0,0,0,0,7
1783822028332027,3,77,-1,0,0,0,0,0,0,0,0,7
1783822028459422,3,78,-1,0,0,0,0,0,0,0,0,8
1783822028588547,3,79,-1,0,0,0,0,0,0,0,0,7
1783822028716148,3,80,-1,0,0,0,0,0,0,0,0,8
1783822028844306,3,81,-1,0,0,0,0,0,0,0,0,7
1783822028973350,3,82,-1,0,0,0,0,0,0,0,0,8
1783822029101118,3,83,73,0,0,0,0,0,0,0,0,7
1783822029230050,3,84,74,67,0,0,250,0,0,0,0,7
1783822029358201,3,85,75,0,0,0,0,0,0,0,0,7
1783822029485642,3,86,76,66,0,0,250,0,0,0,0,7
1783822029613500,3,87,77,0,0,0,0,0,0,0,0,7
1783822029742809,3,88,78,67,0,0,250,0,0,0,0,6
1783822029870216,3,89,79,0,0,0,0,0,0,0,0,8
1783822030000012,3,90,80,64,0,0,500,36,0,0,250,7
1783822030126971,3,91,81,0,0,0,0,0,0,0,0,8
1783822030255825,3,92,82,0,0,0,0,55,52,0,250,7
1783822030383894,3,93,83,0,0,0,0,0,0,0,0,7
1783822030512402,3,94,84,0,0,0,0,36,0,0,250,8
1783822030639308,3,95,85,0,0,0,0,0,0,0,0,7
1783822030768917,3,96,86,0,0,0,0,55,52,0,250,7
1783822030896473,3,97,87,0,0,0,0,0,0,0,0,7
1783822031024998,3,98,88,0,0,0,0,36,0,0,250,7
1783822031152400,3,99,89,0,0,0,0,0,0,0,0,7
1783822031282098,3,100,90,64,0,0,250,55,52,0,250,8
1783822031409402,3,101,91,0,0,0,0,0,0,0,0,7
1783822031537814,3,102,92,63,0,0,250,36,0,0,250,7
1783822031666357,3,103,93,0,0,0,0,0,0,0,0,10
1783822031794731,3,104,94,64,0,0,250,55,52,0,250,8
1783822031922558,3,105,95,0,0,0,0,0,0,0,0,7
1783822032050873,3,106,96,60,0,0,500,48,0,0,250,8
1783822032179549,3,107,97,0,0,0,0,0,0,0,0,7
1783822032307664,3,108,98,0,0,0,0,60,55,0,250,7
1783822032435385,3,109,99,0,0,0,0,0,0,0,0,7
1783822032564553,3,110,100,0,0,0,0,48,0,0,250,7
1783822032691574,3,111,101,0,0,0,0,0,0,0,0,7
1783822032821401,3,112,102,0,0,0,0,60,55,0,250,7
1783822032948168,3,113,103,0,0,0,0,0,0,0,0,7
1783822033077431,3,114,104,0,0,0,0,48,0,0,250,8
1783822033204793,3,115,105,0,0,0,0,0,0,0,0,8
1783822033333428,3,116,106,64,0,0,250,60,55,0,250,8
1783822033461483,3,117,107,0,0,0,0,0,0,0,0,7
1783822033589876,3,118,108,62,0,0,250,48,0,0,250,7
1783822033717503,3,119,109,0,0,0,0,0,0,0,0,7
1783822033846864,3,120,110,60,0,0,250,60,55,0,250,7
1783822033974424,3,121,111,0,0,0,0,0,0,0,0,7
1783822034102327,3,122,112,62,0,0,500,43,0,0,250,7
1783822034230189,3,123,113,0,0,0,0,0,0,0,0,8
1783822034359923,3,124,114,0,0,0,0,53,50,0,250,7
1783822034487769,3,125,115,0,0,0,0,0,0,0,0,7
1783822034615918,3,126,116,0,0,0,0,43,0,0,250,8
