pc_recv_time_us,inst_id,tick_id,score_index,to1,to2,to3,dur_to,he1,he2,he3,dur_he,pickup_us
1783822139912424,2,2,-1,0,0,0,0,0,0,0,0,7
1783822140039999,2,3,-1,0,0,0,0,0,0,0,0,8
1783822140170607,2,4,-1,0,0,0,0,0,0,0,0,7
1783822140297248,2,5,-1,0,0,0,0,0,0,0,0,7
1783822140425102,2,6,-1,0,0,0,0,0,0,0,0,7
1783822140554475,2,7,-1,0,0,0,0,0,0,0,0,7
1783822140682232,2,8,-1,0,0,0,0,0,0,0,0,8
1783822140810529,2,9,-1,0,0,0,0,0,0,0,0,7
1783822140939296,2,10,-1,0,0,0,0,0,0,0,0,7
1783822141075817,2,11,-1,0,0,0,0,0,0,0,0,8
1783822141194518,2,12,-1,0,0,0,0,0,0,0,0,7
1783822141323233,2,13,-1,0,0,0,0,0,0,0,0,7
1783822141451500,2,14,-1,0,0,0,0,0,0,0,0,8
1783822141580105,2,15,-1,0,0,0,0,0,0,0,0,7
1783822141707980,2,16,-1,0,0,0,0,0,0,0,0,7
1783822141835645,2,17,-1,0,0,0,0,0,0,0,0,7
1783822141965218,2,18,-1,0,0,0,0,0,0,0,0,7
1783822142092470,2,19,-1,0,0,0,0,0,0,0,0,7
1783822142221132,2,20,-1,0,0,0,0,0,0,0,0,8
1783822142348444,2,21,-1,0,0,0,0,0,0,0,0,8
1783822142477426,2,22,-1,0,0,0,0,0,0,0,0,7
1783822142606222,2,23,-1,0,0,0,0,0,0,0,0,8
1783822142733312,2,24,-1,0,0,0,0,0,0,0,0,7
1783822142862609,2,25,-1,0,0,0,0,0,0,0,0,8
1783822142990515,2,26,-1,0,0,0,0,0,0,0,0,7
1783822143117976,2,27,-1,0,0,0,0,0,0,0,0,8
1783822143246459,2,28,-1,0,0,0,0,0,0,0,0,7
1783822143374303,2,29,-1,0,0,0,0,0,0,0,0,8
1783822143502770,2,30,-1,0,0,0,0,0,0,0,0,7
1783822143630775,2,31,-1,0,0,0,0,0,0,0,0,7
1783822143759745,2,32,-1,0,0,0,0,0,0,0,0,8
1783822143887854,2,33,-1,0,0,0,0,0,0,0,0,7
1783822144015851,2,34,-1,0,0,0,0,0,0,0,0,8
1783822144144562,2,35,-1,0,0,0,0,0,0,0,0,7
1783822144272270,2,36,-1,0,0,0,0,0,0,0,0,8
1783822144401321,2,37,-1,0,0,0,0,0,0,0,0,7
1783822144529219,2,38,-1,0,0,0,0,0,0,0,0,10
1783822144657688,2,39,-1,0,0,0,0,0,0,0,0,7
1783822144786010,2,40,-1,0,0,0,0,0,0,0,0,7
1783822144914169,2,41,-1,0,0,0,0,0,0,0,0,7
1783822145041868,2,42,-1,0,0,0,0,0,0,0,0,7
1783822145171029,2,43,-1,0,0,0,0,0,0,0,0,8
1783822145298710,2,44,-1,0,0,0,0,0,0,0,0,7
1783822145426662,2,45,-1,0,0,0,0,0,0,0,0,7
1783822145554364,2,46,-1,0,0,0,0,0,0,0,0,7
1783822145683407,2,47,-1,0,0,0,0,0,0,0,0,7
1783822145811616,2,48,-1,0,0,0,0,0,0,0,0,8
1783822145940520,2,49,-1,0,0,0,0,0,0,0,0,7
1783822146068044,2,50,-1,0,0,0,0,0,0,0,0,7
1783822146196220,2,51,-1,0,0,0,0,0,0,0,0,7
1783822146324282,2,52,-1,0,0,0,0,0,0,0,0,7
1783822146452617,2,53,-1,0,0,0,0,0,0,0,0,8
1783822146580921,2,54,-1,0,0,0,0,0,0,0,0,7
1783822146708724,2,55,-1,0,0,0,0,0,0,0,0,8
1783822146837904,2,56,-1,0,0,0,0,0,0,0,0,7
1783822146965515,2,57,-1,0,0,0,0,0,0,0,0,7
1783822147093749,2,58,-1,0,0,0,0,0,0,0,0,7
1783822147222057,2,59,-1,0,0,0,0,0,0,0,0,7
1783822147350765,2,60,-1,0,0,0,0,0,0,0,0,7
1783822147478384,2,61,-1,0,0,0,0,0,0,0,0,7
1783822147607193,2,62,-1,0,0,0,0,0,0,0,0,8
1783822147734241,2,63,-1,0,0,0,0,0,0,0,0,8
1783822147863097,2,64,-1,0,0,0,0,0,0,0,0,7
1783822147991819,2,65,-1,0,0,0,0,0,0,0,0,7
1783822148120153,2,66,-1,0,0,0,0,0,0,0,0,7
1783822148248165,2,67,-1,0,0,0,0,0,0,0,0,7
1783822148376903,2,68,-1,0,0,0,0,0,0,0,0,8
1783822148504917,2,69,-1,0,0,0,0,0,0,0,0,8
1783822148632484,2,70,-1,0,0,0,0,0,0,0,0,7
1783822148761919,2,71,-1,0,0,0,0,0,0,0,0,10
1783822148890272,2,72,-1,0,0,0,0,0,0,0,0,8
1783822149016690,2,73,-1,0,0,0,0,0,0,0,0,8
1783822149145563,2,74,-1,0,0,0,0,0,0,0,0,7
1783822149274176,2,75,-1,0,0,0,0,0,0,0,0,7
1783822149403193,2,76,-1,0,0,0,0,0,0,0,0,7
1783822149530115,2,77,-1,0,0,0,0,0,0,0,0,7
1783822149659359,2,78,-1,0,0,0,0,0,0,0,0,7
1783822149787875,2,79,-1,0,0,0,0,0,0,0,0,7
1783822149915034,2,80,-1,0,0,0,0,0,0,0,0,7
1783822150043765,2,81,-1,0,0,0,0,0,0,0,0,7
1783822150172019,2,82,-1,0,0,0,0,0,0,0,0,7
1783822150300119,2,83,73,0,0,0,0,0,0,0,0,8
1783822150428599,2,84,74,67,0,0,250,0,0,0,0,8
1783822150556546,2,85,75,0,0,0,0,0,0,0,0,7
1783822150684775,2,86,76,66,0,0,250,0,0,0,0,7
1783822150812753,2,87,77,0,0,0,0,0,0,0,0,8
1783822150941638,2,88,78,67,0,0,250,0,0,0,0,7
1783822151069687,2,89,79,0,0,0,0,0,0,0,0,7
1783822151197950,2,90,80,64,0,0,500,36,0,0,250,8
1783822151325462,2,91,81,0,0,0,0,0,0,0,0,7
1783822151454413,2,92,82,0,0,0,0,55,52,0,250,8
1783822151582148,2,93,83,0,0,0,0,0,0,0,0,7
1783822151710982,2,94,84,0,0,0,0,36,0,0,250,7
1783822151837809,2,95,85,0,0,0,0,0,0,0,0,7
1783822151967843,2,96,86,0,0,0,0,55,52,0,250,8
1783822152095651,2,97,87,0,0,0,0,0,0,0,0,8
1783822152224428,2,98,88,0,0,0,0,36,0,0,250,7
1783822152350825,2,99,89,0,0,0,0,0,0,0,0,7
1783822152480338,2,100,90,64,0,0,250,55,52,0,250,8
1783822152607991,2,101,91,0,0,0,0,0,0,0,0,7
1783822152737502,2,102,92,63,0,0,250,36,0,0,250,8
1783822152864894,2,103,93,0,0,0,0,0,0,0,0,7
1783822152994485,2,104,94,64,0,0,250,55,52,0,250,7
1783822153121788,2,105,95,0,0,0,0,0,0,0,0,8
1783822153250089,2,106,96,60,0,0,500,48,0,0,250,7
1783822153377002,2,107,97,0,0,0,0,0,0,0,0,8
1783822153505912,2,108,98,0,0,0,0,60,55,0,250,7
1783822153634373,2,109,99,0,0,0,0,0,0,0,0,7
1783822153762247,2,110,100,0,0,0,0,48,0,0,250,7
1783822153889646,2,111,101,0,0,0,0,0,0,0,0,7
1783822154018601,2,112,102,0,0,0,0,60,55,0,250,8
1783822154146462,2,113,103,0,0,0,0,0,0,0,0,7
1783822154275115,2,114,104,0,0,0,0,48,0,0,250,8
1783822154403600,2,115,105,0,0,0,0,0,0,0,0,7
1783822154532191,2,116,106,64,0,0,250,60,55,0,250,7
1783822154659500,2,117,107,0,0,0,0,0,0,0,0,7
1783822154788324,2,118,108,62,0,0,250,48,0,0,250,11
1783822154917058,2,119,109,0,0,0,0,0,0,0,0,7
1783822155045219,2,120,110,60,0,0,250,60,55,0,250,7
1783822155173094,2,121,111,0,0,0,0,0,0,0,0,7
1783822155301287,2,122,112,62,0,0,500,43,0,0,250,7
1783822155429868,2,123,113,0,0,0,0,0,0,0,0,7
1783822155558993,2,124,114,0,0,0,0,53,50,0,250,7
1783822155686313,2,125,115,0,0,0,0,0,0,0,0,8
1783822155813414,2,126,116,0,0,0,0,43,0,0,250,7
1783822155941636,2,127,117,0,0,0,0,0,0,0,0,8
1783822156070941,2,128,118,0,0,0,0,53,50,0,250,7
1783822156199613,2,129,119,0,0,0,0,0,0,0,0,8
1783822156327862,2,130,120,0,0,0,0,47,0,0,250,7
1783822156454805,2,131,121,0,0,0,0,0,0,0,0,7
1783822156584298,2,132,122,67,0,0,250,55,50,0,250,7
1783822156711847,2,133,123,0,0,0,0,0,0,0,0,7
1783822156841089,2,134,124,69,0,0,250,47,0,0,250,8
1783822156976791,2,135,125,0,0,0,0,0,0,0,0,8
1783822157097189,2,136,126,67,0,0,250,55,50,0,250,7
1783822157224894,2,137,127,0,0,0,0,0,0,0,0,8
1783822157353395,2,138,128,64,60,0,500,48,0,0,250,7
1783822157480759,2,139,129,0,0,0,0,0,0,0,0,7
1783822157610783,2,140,138,67,64,0,250,55,52,0,250,7
1783822157737600,2,141,139,0,0,0,0,0,0,0,0,8
1783822157866911,2,142,140,69,64,0,250,57,53,0,250,7
1783822157994144,2,143,141,0,0,0,0,0,0,0,0,7
1783822158123305,2,144,142,71,64,0,250,59,55,0,250,7
1783822158250381,2,145,143,0,0,0,0,0,0,0,0,8
1783822158379127,2,146,144,72,67,0,500,60,52,0,500,7
1783822158507650,2,147,145,0,0,0,0,0,0,0,0,8
1783822158634713,2,148,146,0,0,0,0,0,0,0,0,8
1783822158763015,2,149,147,0,0,0,0,0,0,0,0,7
1783822158892221,2,150,148,67,64,0,500,55,48,0,500,8
1783822159018999,2,151,149,0,0,0,0,0,0,0,0,7
1783822159148782,2,152,150,0,0,0,0,0,0,0,0,7
1783822159275967,2,153,151,0,0,0,0,0,0,0,0,8
1783822159406353,2,154,152,64,60,0,500,48,43,0,500,8
1783822159533184,2,155,153,0,0,0,0,0,0,0,0,7
1783822159661127,2,156,154,0,0,0,0,0,0,0,0,7
1783822159789493,2,157,155,0,0,0,0,0,0,0,0,7
1783822159917888,2,158,156,60,0,0,500,55,48,0,500,7
1783822160045959,2,159,157,0,0,0,0,0,0,0,0,7
1783822160174224,2,160,158,0,0,0,0,0,0,0,0,8
1783822160301366,2,161,159,0,0,0,0,0,0,0,0,8
1783822160431566,2,162,160,69,65,0,1000,41,0,0,250,8
1783822160559567,2,163,161,0,0,0,0,0,0,0,0,8
1783822160686924,2,164,162,0,0,0,0,45,0,0,250,8
1783822160815781,2,165,163,0,0,0,0,0,0,0,0,8
1783822160943391,2,166,164,0,0,0,0,48,0,0,250,7
1783822161071732,2,167,165,0,0,0,0,0,0,0,0,7
1783822161200666,2,168,166,0,0,0,0,53,0,0,250,8
1783822161328665,2,169,167,0,0,0,0,0,0,0,0,7
1783822161456646,2,170,168,0,0,0,0,57,53,48,500,8
1783822161583821,2,171,169,0,0,0,0,0,0,0,0,7
1783822161713549,2,172,170,69,65,0,250,0,0,0,0,7
1783822161840470,2,173,171,0,0,0,0,0,0,0,0,8
1783822161969809,2,174,172,71,65,0,250,45,41,0,500,7
1783822162097446,2,175,173,0,0,0,0,0,0,0,0,7
1783822162226081,2,176,174,69,65,0,250,0,0,0,0,7
1783822162353583,2,177,175,0,0,0,0,0,0,0,0,7
1783822162482695,2,178,176,67,62,0,500,50,43,0,500,8
1783822162610925,2,179,177,0,0,0,0,0,0,0,0,8
1783822162738290,2,180,178,0,0,0,0,0,0,0,0,8
1783822162866296,2,181,179,0,0,0,0,0,0,0,0,7
1783822162995582,2,182,180,65,62,0,500,55,47,0,500,7
1783822163123397,2,183,181,0,0,0,0,0,0,0,0,8
1783822163251143,2,184,182,0,0,0,0,0,0,0,0,8
1783822163379650,2,185,183,0,0,0,0,0,0,0,0,8
1783822163509111,2,186,184,64,62,0,500,55,50,0,500,7
1783822163635765,2,187,185,0,0,0,0,0,0,0,0,8
1783822163765187,2,188,186,0,0,0,0,0,0,0,0,8
1783822163892751,2,189,187,0,0,0,0,0,0,0,0,7
1783822164020877,2,190,188,62,0,0,500,55,53,0,500,7
1783822164148919,2,191,189,0,0,0,0,0,0,0,0,7
1783822164276606,2,192,190,0,0,0,0,0,0,0,0,7
1783822164405699,2,193,191,0,0,0,0,0,0,0,0,7
1783822164534833,2,194,192,60,0,0,1000,48,0,0,250,8
1783822164662259,2,195,193,0,0,0,0,0,0,0,0,8
1783822164791017,2,196,194,0,0,0,0,52,0,0,125,7
1783822164918070,2,197,195,0,0,0,0,55,0,0,250,8
1783822165046960,2,198,196,0,0,0,0,0,0,0,0,7
1783822165176004,2,199,197,0,0,0,0,64,0,0,125,7
1783822165303824,2,200,198,0,0,0,0,67,0,0,250,7
1783822165431968,2,201,199,0,0,0,0,0,0,0,0,7
1783822165560255,2,202,200,0,0,0,0,72,0,0,250,7
1783822165688489,2,203,201,0,0,0,0,0,0,0,0,8
1783822165816471,2,204,202,0,0,0,0,0,0,0,0,8
