pc_recv_time_us,inst_id,tick_id,score_index,to1,to2,to3,dur_to,he1,he2,he3,dur_he,pickup_us
1783822089380051,3,2,-1,0,0,0,0,0,0,0,0,6
1783822089508666,3,3,-1,0,0,0,0,0,0,0,0,7
1783822089636902,3,4,-1,0,0,0,0,0,0,0,0,7
1783822089765371,3,5,-1,0,0,0,0,0,0,0,0,7
1783822089892831,3,6,-1,0,0,0,0,0,0,0,0,7
1783822090021750,3,7,-1,0,0,0,0,0,0,0,0,7
1783822090149687,3,8,-1,0,0,0,0,0,0,0,0,7
1783822090277630,3,9,-1,0,0,0,0,0,0,0,0,7
1783822090405609,3,10,-1,0,0,0,0,0,0,0,0,7
1783822090533802,3,11,-1,0,0,0,0,0,0,0,0,7
1783822090662941,3,12,-1,0,0,0,0,0,0,0,0,7
1783822090791800,3,13,-1,0,0,0,0,0,0,0,0,9
1783822090919270,3,14,-1,0,0,0,0,0,0,0,0,8
1783822091047506,3,15,-1,0,0,0,0,0,0,0,0,7
1783822091175874,3,16,-1,0,0,0,0,0,0,0,0,7
1783822091303561,3,17,-1,0,0,0,0,0,0,0,0,7
1783822091431864,3,18,-1,0,0,0,0,0,0,0,0,7
1783822091561152,3,19,-1,0,0,0,0,0,0,0,0,7
1783822091688156,3,20,-1,0,0,0,0,0,0,0,0,7
1783822091817579,3,21,-1,0,0,0,0,0,0,0,0,7
1783822091944977,3,22,-1,0,0,0,0,0,0,0,0,7
1783822092073468,3,23,-1,0,0,0,0,0,0,0,0,7
1783822092201178,3,24,-1,0,0,0,0,0,0,0,0,7
1783822092330164,3,25,-1,0,0,0,0,0,0,0,0,7
1783822092458146,3,26,-1,0,0,0,0,0,0,0,0,7
1783822092585309,3,27,-1,0,0,0,0,0,0,0,0,7
1783822092713959,3,28,-1,0,0,0,0,0,0,0,0,7
1783822092842706,3,29,-1,0,0,0,0,0,0,0,0,7
1783822092970997,3,30,-1,0,0,0,0,0,0,0,0,7
1783822093098905,3,31,-1,0,0,0,0,0,0,0,0,7
1783822093227576,3,32,-1,0,0,0,0,0,0,0,0,7
1783822093356045,3,33,-1,0,0,0,0,0,0,0,0,7
1783822093484249,3,34,-1,0,0,0,0,0,0,0,0,7
1783822093612636,3,35,-1,0,0,0,0,0,0,0,0,7
1783822093740326,3,36,-1,0,0,0,0,0,0,0,0,7
1783822093868627,3,37,-1,0,0,0,0,0,0,0,0,7
1783822093997153,3,38,-1,0,0,0,0,0,0,0,0,7
1783822094144332,3,39,-1,0,0,0,0,0,0,0,0,8
1783822094253485,3,40,-1,0,0,0,0,0,0,0,0,7
1783822094381126,3,41,-1,0,0,0,0,0,0,0,0,8
1783822094509750,3,42,-1,0,0,0,0,0,0,0,0,7
1783822094638933,3,43,-1,0,0,0,0,0,0,0,0,7
1783822094766397,3,44,-1,0,0,0,0,0,0,0,0,7
1783822094893897,3,45,-1,0,0,0,0,0,0,0,0,7
1783822095023014,3,46,-1,0,0,0,0,0,0,0,0,7
1783822095151055,3,47,-1,0,0,0,0,0,0,0,0,7
1783822095279290,3,48,-1,0,0,0,0,0,0,0,0,7
1783822095407480,3,49,-1,0,0,0,0,0,0,0,0,8
1783822095536016,3,50,-1,0,0,0,0,0,0,0,0,7
1783822095664474,3,51,-1,0,0,0,0,0,0,0,0,7
1783822095792552,3,52,-1,0,0,0,0,0,0,0,0,7
1783822095920190,3,53,-1,0,0,0,0,0,0,0,0,7
1783822096048609,3,54,-1,0,0,0,0,0,0,0,0,7
