pc_recv_time_us,inst_id,tick_id,score_index,to1,to2,to3,dur_to,he1,he2,he3,dur_he,pickup_us
1783822018662304,4,2,0,2,80,0,0,0,0,0,0,7
1783822018791159,4,3,1,0,0,0,0,0,0,0,0,7
1783822018917919,4,4,2,0,0,0,0,0,0,0,0,7
1783822019046434,4,5,3,0,0,0,0,0,0,0,0,7
1783822019175318,4,6,4,1,110,0,0,0,0,0,0,7
1783822019303432,4,7,5,0,0,0,0,0,0,0,0,7
1783822019431784,4,8,6,0,0,0,0,0,0,0,0,7
1783822019558932,4,9,7,0,0,0,0,0,0,0,0,8
1783822019688065,4,10,8,2,80,0,0,0,0,0,0,8
1783822019816169,4,11,9,0,0,0,0,0,0,0,0,7
1783822019945004,4,12,10,0,0,0,0,0,0,0,0,6
1783822020072719,4,13,11,0,0,0,0,0,0,0,0,9
1783822020200746,4,14,12,1,110,0,0,0,0,0,0,7
1783822020328817,4,15,13,0,0,0,0,0,0,0,0,7
1783822020457941,4,16,14,0,0,0,0,0,0,0,0,7
1783822020585675,4,17,15,0,0,0,0,0,0,0,0,8
1783822020713212,4,18,16,2,80,0,0,0,0,0,0,7
1783822020841874,4,19,17,0,0,0,0,0,0,0,0,7
1783822020971401,4,20,18,0,0,0,0,0,0,0,0,8
1783822021099052,4,21,19,0,0,0,0,0,0,0,0,8
1783822021227460,4,22,20,1,110,0,0,0,0,0,0,6
1783822021356047,4,23,21,0,0,0,0,0,0,0,0,8
1783822021482862,4,24,22,0,0,0,0,0,0,0,0,7
1783822021611782,4,25,23,0,0,0,0,0,0,0,0,7
1783822021740438,4,26,24,2,80,0,0,0,0,0,0,7
1783822021868633,4,27,25,0,0,0,0,0,0,0,0,7
1783822021995880,4,28,26,0,0,0,0,0,0,0,0,7
1783822022125667,4,29,27,0,0,0,0,0,0,0,0,7
1783822022253706,4,30,28,1,110,0,0,0,0,0,0,7
1783822022380304,4,31,29,0,0,0,0,0,0,0,0,7
1783822022509706,4,32,30,0,0,0,0,0,0,0,0,8
1783822022638451,4,33,31,0,0,0,0,0,0,0,0,8
1783822022765927,4,34,32,2,80,0,0,0,0,0,0,7
