pc_recv_time_us,inst_id,tick_id,score_index,to1,to2,to3,dur_to,he1,he2,he3,dur_he,pickup_us
1783822051972744,2,2,-1,0,0,0,0,0,0,0,0,8
1783822052100790,2,3,-1,0,0,0,0,0,0,0,0,6
1783822052232750,2,4,-1,0,0,0,0,0,0,0,0,8
1783822052356981,2,5,-1,0,0,0,0,0,0,0,0,8
1783822052486228,2,6,-1,0,0,0,0,0,0,0,0,8
1783822052614779,2,7,-1,0,0,0,0,0,0,0,0,7
1783822052742515,2,8,-1,0,0,0,0,0,0,0,0,7
1783822052870680,2,9,-1,0,0,0,0,0,0,0,0,7
1783822052999173,2,10,-1,0,0,0,0,0,0,0,0,8
1783822053126955,2,11,-1,0,0,0,0,0,0,0,0,7
1783822053255596,2,12,-1,0,0,0,0,0,0,0,0,7
1783822053383743,2,13,-1,0,0,0,0,0,0,0,0,10
1783822053511885,2,14,-1,0,0,0,0,0,0,0,0,7
1783822053640272,2,15,-1,0,0,0,0,0,0,0,0,7
1783822053767928,2,16,-1,0,0,0,0,0,0,0,0,7
1783822053895653,2,17,-1,0,0,0,0,0,0,0,0,8
1783822054023998,2,18,-1,0,0,0,0,0,0,0,0,8
1783822054152718,2,19,-1,0,0,0,0,0,0,0,0,8
1783822054285269,2,20,-1,0,0,0,0,0,0,0,0,7
1783822054409376,2,21,-1,0,0,0,0,0,0,0,0,7
1783822054537814,2,22,-1,0,0,0,0,0,0,0,0,8
1783822054665703,2,23,-1,0,0,0,0,0,0,0,0,7
1783822054794502,2,24,-1,0,0,0,0,0,0,0,0,7
1783822054922616,2,25,-1,0,0,0,0,0,0,0,0,7
1783822055049879,2,26,-1,0,0,0,0,0,0,0,0,7
1783822055178903,2,27,-1,0,0,0,0,0,0,0,0,7
1783822055307417,2,28,-1,0,0,0,0,0,0,0,0,8
1783822055435366,2,29,-1,0,0,0,0,0,0,0,0,8
1783822055563468,2,30,-1,0,0,0,0,0,0,0,0,7
