評価対象チーム番号,評価項目：没入感・臨場感,評価項目：一体感・同期の心地よさ,評価項目：演出の華やかさ,評価項目：楽しさ・高揚感,システム全体に対するご意見・ご感想（任意）,
7,5,3,7,6,,
7,4,5,5,6,,
7,6,5,5,6,,
7,6,6,6,6,,
7,5,7,5,6,,
7,6,6,6,7,,
7,7,7,7,7,,
7,7,7,6,6,,
7,5,5,2,2,,
7,7,4,6,7,,
7,5,7,5,6,,
7,7,6,7,7,,
7,7,7,7,7,,
7,3,6,5,5,,
7,4,7,5,6,BPMの変更がすごく気持ちいいと感じた,
7,4,5,5,4,,
7,7,7,6,7,,
7,7,7,7,7,ゲーム作ってるの凄すぎる,
7,5,4,7,6,,
7,7,7,7,7,,
7,4,4,4,5,,
7,5,6,6,6,,
7,7,7,6,7,,
7,6,6,7,7,,
7,7,7,6,6,ゲーム形式と連動していて楽しい,
7,7,7,7,7,ゲームが楽しい,
7,7,7,7,7,,
7,7,7,7,7,,
7,6,7,6,7,,
7,7,5,7,7,ゲームをプレイできるのはすごく面白いと感じた,
7,6,6,7,6,,
7,3,6,3,4,,
7,7,7,7,7,,
7,6,3,5,5,,
7,5,5,7,6,,
7,7,7,7,7,ゲームに集中してて音聞けんかった,
7,7,7,7,7,面白かった,
7,5,7,4,5,音がとてもきれいだった,
7,7,7,7,7,,
7,7,7,7,7,楽しいし、ゲームできるので好き,
7,5,7,6,7,,
7,7,7,7,7,,
7,7,6,7,7,ゲームが自分でイジれて面白い,
7,,,5.93939393939394,6.18181818181818,,
