タイムスタンプ,スコア,ピアノの音らしいか,木琴の音らしいか,フルートの音らしいか,ドラムの音らしいか,輪唱曲が自然に聞こえたか（ずれを感じたか）,BPM変更に即時性を感じたか,輪唱を心地よく聞こえたか,アニメーションを楽しめたか
2026/07/08 13:37:05,0 / 5,3,3,3,3,4,5,5,5
2026/07/08 13:37:06,0 / 5,4,4,4,4,5,5,5,5
2026/07/08 13:37:11,0 / 5,4,4,4,4,5,4,4,5
2026/07/08 13:37:17,0 / 5,4,4,4,4,1,5,4,5
2026/07/08 13:37:22,0 / 5,4,3,4,5,1,5,5,3
2026/07/08 13:37:48,0 / 5,4,5,5,5,5,4,5,5
2026/07/08 13:38:11,0 / 5,4,5,4,5,5,5,5,5
2026/07/08 13:40:16,0 / 5,5,5,5,5,5,5,5,5
2026/07/08 13:40:49,0 / 5,3,3,3,3,3,3,3,3
2026/07/08 13:49:01,0 / 5,5,5,4,3,5,5,4,5
2026/07/08 13:49:22,0 / 5,4,4,3,5,1,5,5,5
2026/07/08 13:52:40,0 / 5,5,3,3,4,1,3,4,5
2026/07/08 13:53:25,0 / 5,5,4,4,5,5,5,5,5
2026/07/08 13:57:47,0 / 5,3,4,4,4,2,5,5,5
2026/07/08 13:59:54,0 / 5,4,5,4,5,5,4,5,5
2026/07/08 15:04:26,0 / 5,3,3,3,3,4,5,5,4
2026/07/08 15:10:08,0 / 5,2,3,5,3,5,5,5,5
2026/07/09 13:25:18,0 / 5,3,2,5,5,5,5,5,5
2026/07/09 13:25:30,0 / 5,3,3,4,5,2,5,5,1
2026/07/09 13:26:11,0 / 5,4,1,5,5,5,5,5,4
2026/07/09 13:26:35,0 / 5,3,3,5,5,4,4,4,5
2026/07/09 13:29:26,0 / 5,5,4,3,5,1,4,5,4
2026/07/10 15:47:00,0 / 5,4,2,4,3,3,5,4,5
2026/07/11 11:03:23,0 / 5,5,4,4,5,5,5,5,3
2026/07/12 10:30:54,0 / 5,5,5,5,5,5,5,5,5
2026/07/12 10:32:29,0 / 5,5,5,5,5,4,5,4,4
2026/07/12 10:33:12,0 / 5,5,3,4,5,5,5,5,5
2026/07/12 14:36:28,0 / 5,4,5,3,5,2,4,5,5
2026/07/12 15:09:11,0 / 5,4,4,3,3,2,3,3,4
2026/07/12 15:17:27,0 / 5,4,3,4,5,4,5,4,5
2026/07/12 16:19:09,0 / 5,4,1,3,4,4,3,1,5
2026/07/12 16:42:22,0 / 5,5,5,3,4,4,4,4,5
2026/07/12 18:32:01,0 / 5,5,5,5,5,5,5,5,5
2026/07/12 18:32:28,0 / 5,5,5,5,5,5,5,5,5
,,,,,,,,,4.558823529
